id,parkingName,codeParking,adress,location,capacity,description,phoneContact,mailContact 
0c3a1526-3d92-42d8-917f-ea22e2cc3b61,"Parking Médiacité",41,"Boulevard Raymond Poincaré 7/500, B-4020 Liège","50.6329701, 5.5787799",2201," Hauteurs maximales autorisées : 1,90m dans l'accès Libotte, 2m dans les autres accès. Liaison directe avec le Centre Commercial et la Patinoire de Liège. Accès au quartier du Longdoz. Responsable d'Exploitation : Monsieur Christian MASSART.","+32 02 880 20 01",customers@effia.be
10fb58d7-cc33-48dd-9ecb-b8f4f36d5551,"Parking Serre",85,"Avenue Théodore Schwann, B-1348 Louvain-la-Neuve","50.6660112,4.6179281",90,"Parking de l'UCL
https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
1229f7fd-383a-4cb0-88d8-1436e6bfb9df,"Parking XPO",89,"Chaussée de Tournai 216, B-8500 Courtrai","50.8051713, 3.275271",2200," Parking du parc d'Exposition XPO. Responsable d'Exploitation : Monsieur Chamil CHAKHIEV. Plus d'infos : <a href="https://www.kortrijkxpo.com/fr/pratique/parkeren/" rel="noopener noreferrer" target="_blank">https://www.kortrijkxpo.com/fr/pratique/parkeren/</a>","+32 051 14 01 70",roeselare@effia.be
16483cbc-e2e6-4b2c-b756-add348c165cb,"Parking Euler",82,"Avenue Théodore Schwann, B-1348 Louvain-la-Neuve","50.66979275492009, 4.622106036834179",90," Parking de l'UCL https://uclouvain.be/fr/decouvrir/access-louvain-la-neuve.html#parking",,customers@effia.be
183f5d4c-be19-4811-a4fd-534809f9ddb9,"Parking Céria - Coovi",86,"Boulevard Josse Leeman 10, B-1070 Anderlecht","50.815841, 4.2866897",1312," Parking Park &amp; Ride. RO sortie 16 - Suivre N6. Connexion métro ligne 5 Erasme-Herrmann-Debroux. Moins de 20 minutes pour se rendre à la Grand-Place de Bruxelles.  Responsable d'Exploitation : Monsieur Chistian BUYENS.  <a href="https://ceria.parkandride.brussels/login" rel="noopener noreferrer" target="_blank">https://ceria.parkandride.brussels/login</a>","+32 02 880 20 01",customers@effia.be
1a05a627-692c-4771-883f-8c5bf3a533c9,"Parking shopping Linthout Tongres",51,"Rue Bâtonnier Braffort, B-1200 Bruxelles","50.8402472, 4.4026492",75," Parking situé derrière la Galerie Linthout, accès piétons via la Rue des Tongres, Rue Linthout et Avenue G. Henri. Responsable d'Exploiation : Monsieur Bilal EL JYLALY.","+32 02 880 20 01",customers@effia.be
1efec4ee-aa88-4f17-9591-19a1449070ed,"Parking GIFAR",29,"Rue des Echasseurs, B-5000 Namur","50.4626209, 4.8664279",443," Parking situé dans le bas de la Ville. Départ du téléphérique à 100m. Accès direct au magasin MATCH. Sortie possible 24h/24 - 7j/7 avec votre ticket d'entrée. Responsable d'Exploitation : Monsieur Carl LAURENT.","+32 02 880 20 01",customers@effia.be
2349cb32-4478-4a34-aaca-2d21d91c19ab,"Parking Charlemagne",43,"Rue Charlemagne, B-1348 Louvain-la-Neuve","50.6688461, 4.606862599999999",343," Accès direct à la Rue Charlemagne. Responsable d'Exploitation : Monsieur Jeremy GUILMAIN.","+32 02 880 20 01",customers@effia.be
2ff9a4bd-37ec-49a2-938c-e4e3e8bb9d0c,"Parking Carré-Jonfosse",37,"Rue Jonfosse 73, B-4000 Liège","50.6400547, 5.5631621",156," Situé au cœur de la Cité ardente. Parking accessible aux automobilistes et cyclistes (gratuit pour les cyclistes). Parking sécurisé, l’accès est contrôlé en permanence. La Gare Liège-Carré est à 100m, la Rue Saint-Gilles à 200, le Carré à 300 et le Boulevard d’Avroy à 400 mètres. Parking de la Piscine Liège-Jonfosse. Responsable d'Exploitation : Monsieur Vincent MONISSE.","+32 02 880 20 01",customers@effia.be
3543dc37-d6c8-4dfc-abef-5d19187daf33,"Voirie de Braine-le-Comte",90,"B-7090 Braine-le-Comte","50.61045, 4.13461",1500," Vous trouverez toutes les informations concernant le stationnement à Braine-le-Comte, selon le plan communal de Mobilité du 31 mai 2021 et les délibérations du Conseil Communal du 30 janvier 2023.","+32 04 229 88 13",alfapark@effia.be
